羚翘解毒片
去感热口服液
去感热注射液
保心包
保心片
康尔心胶囊
参黄养阴胶囊
参牛胶囊
参七脑康胶囊
参田胶囊
参志胶囊
参蛭活血胶囊
川黄颗粒
川黄口服液
川龙合剂
大花红景天口服液
大株红景天胶囊
大株红景天片
大株红景天注射液
丹羚心舒胶囊
丹芪偏瘫胶囊
丹芪舒心胶囊
丹枣口服液
灯银脑通胶囊
杜蛭丸
复方丹蛭片
复肝能胶囊
冠保颗粒
冠参片
冠心静胶囊
冠心静片
冠心生脉口服液
冠心生脉丸
冠心泰丸
冠心通片
冠心丸
归芪活血胶囊
行气活血颗粒
黄芪三七口服液
回心康片
活血镇痛胶囊
济泰片
景参益气颗粒
抗栓保心片
灵宝护心丹
灵益胶囊
龙芪颗粒
龙芪溶栓肠溶胶囊
洛布桑胶囊
脉康合剂
脑心安胶囊
七味解痛口服液
芪参通络胶囊
芪丹通络颗粒
芪丹通脉片
芪龙胶囊
芪龙通络胶囊
芪三七活血颗粒
芪芎通络胶囊
芪血通络片
芪蛭胶囊
芪蛭通络胶囊
强力脑心康胶囊
强力脑心康口服液
强力脑心康片
山玫胶囊
山玫片
十五味沉香丸
舒颈合剂
舒心糖浆
双参颗粒
苏孜阿甫片
通脉刺五加胶囊
通脉养心口服液
通窍镇痛散
五灵止痛胶囊
五灵止痛片
消栓口服液
消栓通颗粒
心安口服液
心复康胶囊
心灵丸
心脉隆注射液
心舒宝胶囊
心舒宝片
心舒丸
心痛康胶囊
心痛康片
心胃止痛胶囊
芎香通脉丸
芎芷止痛颗粒
血络通胶囊
血络通口服液
血瘀通颗粒
延寄参胶囊
益气活血颗粒
益气提神含片
益气通络颗粒
益气养心片
益心复脉颗粒
益心康片
益心通脉颗粒
银蓝通络口服液
银杏洋参胶囊
银杏洋参颗粒
真人大造丸
镇心痛颗粒
治偏痛胶囊
治偏痛颗粒
注射用脑心康(冻干)
紫灯片
颠茄口腔崩解片
复方猴头胶囊
溃疡胶囊
溃疡颗粒
溃疡散胶囊
三分三浸膏片
天凤胃痛散
胃安宁片
胃可宁
胃刻宁胶囊
胃舒止痛胶囊
胃痛平糖浆
乌贝颗粒
乌贝散
小半夏合剂
安胃胶囊
安胃片
安胃止痛散
白蔻调中丸
草香胃康胶囊
沉香化气胶囊
沉香化气片
沉香降气丸
沉香利气丸
沉香散
沉香舒气丸
沉香舒郁片
西布曲明
复方百部止咳冲剂
陈夏六君子丸
羟乙基淀粉40氯化钠
参芪山药膏
参芪消渴胶囊
参芪消渴颗粒
参芪益气酒
参杞益脑胶囊
参茸灵芝胶囊
参味补肾合剂
参乌益肾片
参玉补气酒
虫草洋参胶囊
丹蓝益气养阴口服液
地骨降糖胶囊
地骨降糖丸
地麦消渴胶囊
地芍消渴颗粒
蜂参益气锭
复方地茯口服液
复方蜂王精胶囊
复方决明片
复方南瓜养阴散
复方三七口服液
复方太子参止咳益气散
复方天麻益阴酒
复方鲜石斛胶囊
复方鲜石斛颗粒
复方玄驹益气片
甘芍消渴片
枸杞消渴胶囊
固本强身胶囊
桂圆琼玉颗粒
蛤蚧治痨丸
槐杞黄颗粒
黄精养阴糖浆
黄芪生脉颗粒
黄芪生脉饮
黄蛭益肾胶囊
活力源胶囊
活力源口服液
活力源片
健脾消渴散
健肾益肺颗粒
健肾益肺口服液
降糖甲胶囊
降糖甲颗粒
降糖甲片
降糖胶囊
降糖宁片
降糖舒胶囊
降糖舒丸
降糖通脉胶囊
降糖通脉片
降糖丸
绛糖宁胶囊
绛糖宁颗粒
绛糖宁片
金斛酒
金鳝消渴颗粒
金水鲜胶囊
津力达口服液
精芪双参胶囊
抗饥消渴片
抗衰老口服液
抗衰老片
渴络欣胶囊
六味生脉片
麦芪降糖丸
慢肾宝合剂
慢肾宁合剂
脑肽胶囊
宁清泰颗粒
宁心益智胶囊
平渴颗粒
七味糖脉舒胶囊
七味糖脉舒片
七味消渴胶囊
芪贝胶囊
芪冬颐心颗粒
芪黄消渴胶囊
芪甲利肺胶囊
芪棱片
芪连口服液
芪苓益气颗粒
芪苓益气片
芪明颗粒
芪药消渴胶囊
芪余口服液
杞黄降糖胶囊
杞药消渴口服液
气血康胶囊
气血康片
千斤肾安宁胶囊
强力蜂乳浆胶丸
强身胶囊
强身口服液
琼玉膏
人参保肺丸
人参补气胶囊
人参固本口服液
人参五味子颗粒
人参五味子糖浆
人参药酒
人知降糖胶囊
蓉杞参胶囊
如意定喘片
三十六味消渴胶囊
三杖清肝膏
桑枝颗粒
沙梅消渴胶囊
绍兴大补酒
生津消渴胶囊
生力片
生脉增液通胶囊
生芪消渴胶囊
十味降糖颗粒
石麦清合剂
糖乐胶囊
糖乐片
糖尿乐片
糖尿灵片
糖泰得合剂
糖维胶囊
天黄参消渴口服液
天芪消渴片
铁皮枫斗颗粒
维甜美降糖茶
维血康颗粒
维血康糖浆
乌鸡洋参胶囊
鹜芪口服液
西洋参黄芪胶囊
西洋参胶囊
西洋参颗粒
仙桂胶囊
消渴安胶囊
消渴降糖胶囊
消旋山莨菪碱
消渴灵胶囊
金龙胆草
乌洛托品
钆布醇
环孢素
氨酚沙芬
索他洛尔
环扁桃酯
双羟萘酸噻嘧啶
纳米炭
愈创维林那敏
米那普仑
镁钙维C
香菇菌多糖
二巯丙醇
纳洛酮
咪唑斯汀
泼尼松
